entity1,relation,entity2,merged_sentence,label
this tag,be confused with,vba,this tag be confused with vba,F
this tag,be confused with,vbscript,this tag be confused with vbscript,F
those languages,share,a similar syntax,those languages share a similar syntax,F
the following versions,have been released,date,the following versions have been released date,F
NET,is supported in,a wide range,net is supported in a wide range,F
general programming questions,happen to involve,a Git repository,general programming questions happen to involve a git repository,F
Git,was initially designed,Linus Torvalds,git was initially designed linus torvalds,T
Git,was initially designed,linux kernel development,git was initially designed linux kernel development,T
Linus Torvalds,is maintained by,Junio Hamano,linus torvalds is maintained by junio hamano,T
Every Git working directory,contains,fledged repository,every git working directory contains fledged repository,T
Every Git working directory,contains,fledged repository,every git working directory contains fledged repository,T
Oracle Database,supports,a large number,oracle database supports a large number,T
Oracle,provides,a free version,oracle provides a free version,F
posting questions,include,version,posting questions include version,F
posting questions,include,Oracle edition,posting questions include oracle edition,F
the ability,perform,work,the ability perform work,F
the ability,perform,questions regarding multi-threading,the ability perform questions regarding multi-threading,F
the ability,perform,multiple concurrent streams,the ability perform multiple concurrent streams,F
threads,share,memory,threads share memory,T
threads,share,variables,threads share variables,T
a processor,can create,multiple threads,a processor can create multiple threads,T
a processor,can create,this model,a processor can create this model,F
multiple threads,will be executed in,parallel,multiple threads will be executed in parallel,F
Each thread,has,own stack,each thread has own stack,T
Each thread,has,variables,each thread has variables,T
Each thread,has,ID,each thread has id,T
a unique heap,shared by,memory,a unique heap shared by memory,F
Amdahl's law,governs,the diminishing amount,amdahl's law governs the diminishing amount,T
the diminishing amount,can be achieved by,numbers,the diminishing amount can be achieved by numbers,F
the overall aim,is to minimize,the amount,the overall aim is to minimize the amount,F
the overall aim,is to minimize,any concurrent system,the overall aim is to minimize any concurrent system,F
This tag,be used for,questions,this tag be used for questions,F
Eclipse IDE,used for,Java development,eclipse ide used for java development,T
Eclipse IDE,used for,the use,eclipse ide used for the use,F
Eclipse IDE,is built on,an OSGI implementation,eclipse ide is built on an osgi implementation,T
framework,is used for managing,ins,framework is used for managing ins,F
framework,is used for managing,runtime,framework is used for managing runtime,F
the IDE,form,general Rich Client Platform,the ide form general rich client platform,F
Eclipse,be used as,a development environment,eclipse be used as a development environment,T
the Eclipse CDT Project,provides,ins,the eclipse cdt project provides ins,T
the Eclipse CDT Project,provides,C++ development,the eclipse cdt project provides c++ development,T
the Eclipse CDT Project,create,C++ development environment,the eclipse cdt project create c++ development environment,T
the Eclipse CDT Project,supplies,ins,the eclipse cdt project supplies ins,T
the Eclipse CDT Project,supplies,Java web applications,the eclipse cdt project supplies java web applications,T
the Eclipse CDT Project,supplies,developing Open web standards,the eclipse cdt project supplies developing open web standards,T
the Eclipse CDT Project,provides,a plugin,the eclipse cdt project provides a plugin,T
the Eclipse CDT Project,provides,PHP development,the eclipse cdt project provides php development,T
